need_id,category,split
N_cc16bf36c0fae257f6e78b10,IT-разработка и цифровые сервисы,train
N_c742798584beb32db8751799,IT-разработка и цифровые сервисы,dev
N_284f452270ee876d0086f3ad,IT-разработка и цифровые сервисы,dev
N_ca87bdd49cc7465e54e5ca7a,IT-разработка и цифровые сервисы,train
N_ef96964d584d071a24f4e3e2,IT-разработка и цифровые сервисы,train
N_b52129fd53c55403fb141119,IT-разработка и цифровые сервисы,train
N_8672a63db666ca0b3a78b6fb,IT-разработка и цифровые сервисы,train
N_3f3543bbde92840c8fb92913,IT-разработка и цифровые сервисы,train
N_6ff050d85608f3449fdc5685,IT-разработка и цифровые сервисы,train
N_4f1fd8e5b4962b55d389dfc6,IT-разработка и цифровые сервисы,train
N_38c927eecc81b00a42a1efd4,IT-разработка и цифровые сервисы,dev
N_1df3b330fda76c0a5bed5b6b,IT-разработка и цифровые сервисы,train
N_72aa62f63d1e6c89632bd317,IT-разработка и цифровые сервисы,train
N_fc1cc9755f3093dd9b98f3a3,IT-разработка и цифровые сервисы,train
N_2017032a4d468f87be49fc63,IT-разработка и цифровые сервисы,dev
N_691e3afbbc4141b2edaca714,Дизайн,train
N_95990b55f39c1ad299261e2e,IT-разработка и цифровые сервисы,dev
N_98e4f32e54c5f8adf110f057,IT-разработка и цифровые сервисы,train
N_fe9d66806b32460fcda7420f,IT-разработка и цифровые сервисы,train
N_be63b6db5d455fde5a9d0835,IT-разработка и цифровые сервисы,train
N_7e222fd21376b83621fd57ce,IT-разработка и цифровые сервисы,train
N_c4b906d8cf0885d3a3d04397,IT-разработка и цифровые сервисы,train
N_46c3bb4a7cb67db74dad0eb1,IT-разработка и цифровые сервисы,train
N_47555894064fb613ccdda4a5,IT-разработка и цифровые сервисы,train
N_3856a697ff10af2d84ba511e,IT-разработка и цифровые сервисы,train
N_5f0f8de6b27a90efff70d629,IT-разработка и цифровые сервисы,train
N_826552e7104d36ce85b73b58,IT-разработка и цифровые сервисы,train
N_ddb4011347a524bdf3516c5d,IT-разработка и цифровые сервисы,train
N_15e4011196f93475b857746b,Дизайн,train
N_e65ac749635c4825c9c70e19,IT-разработка и цифровые сервисы,dev
N_bc421931ae6ce0fa16b443dc,IT-разработка и цифровые сервисы,train
N_e0a8fda7f160531e09f464a8,IT-разработка и цифровые сервисы,dev
N_27dac28fbfafa135b89d8777,IT-разработка и цифровые сервисы,train
N_8ab8e0326846c2fd58dafcdb,IT-разработка и цифровые сервисы,train
N_c6e3749427e3440b2798adc6,Переводы,train
N_04736dac521cf32c766f4635,Переводы,train
N_1424e1bcab932b38b38bd02d,Переводы,dev
N_cf9d0a0444bcb1a0a641fff5,Переводы,train
N_d89d61af9cf51c393044b491,Переводы,train
N_342cf2d67915fe86b3c61fea,Переводы,dev
N_566e26ef2b1eb6bafc35ab38,Переводы,train
N_67a69175a0e104ba8ff77aca,Переводы,train
N_a8140dc9cf0b5ea08ba62a03,Переводы,train
N_ee8d9e1c96863cdd1379b50f,Переводы,train
N_c837f6a4964a775ff427bf06,Переводы,train
N_56b2daf6eed18167a4adf346,Копирайтинг и редакция текста,train
N_3d79c559cf47457a22f92a1d,Копирайтинг и редакция текста,train
N_c1095db87a45d790d23b2f0e,Копирайтинг и редакция текста,train
N_d0ca16d345e1415e4f1b04d5,Копирайтинг и редакция текста,train
N_7525f5c825ce7e1ec768601f,Копирайтинг и редакция текста,train
N_ca2b2e8c807c110d20666c35,IT-разработка и цифровые сервисы,train
N_3adb3fbd0631953c0e91348e,Копирайтинг и редакция текста,train
N_a8bda74cc041a179bdccff66,Копирайтинг и редакция текста,train
N_3e4f2e3b3c9e1906cef33ae6,Копирайтинг и редакция текста,dev
N_5397fc2e365698a1e41d04ea,Копирайтинг и редакция текста,dev
N_3fb61855a5e41c1d0a43bba3,Копирайтинг и редакция текста,dev
N_b80ff95f0c3f2d71afb97915,Копирайтинг и редакция текста,train
N_ff2343aba53f125c3e38b50f,Копирайтинг и редакция текста,train
N_7f628abe281c81eae029f5bc,Копирайтинг и редакция текста,train
N_96ba7fe1e95b15e5d4262ee9,Копирайтинг и редакция текста,train
N_7016739a98537bded6b90a5b,Копирайтинг и редакция текста,train
N_48e29046efe0935fb084cf35,Копирайтинг и редакция текста,dev
N_6a7e7ff5e63650c0a8e59aa4,Копирайтинг и редакция текста,train
N_2410eaf5b2ee956a92126725,Копирайтинг и редакция текста,train
N_2c285e699db3c10bd0d3a487,Копирайтинг и редакция текста,train
N_b7d6543a74effed49df3ba32,Копирайтинг и редакция текста,dev
N_e83f4443c0bfc00e391bb0e9,Копирайтинг и редакция текста,train
N_931ae8d363c3f03d2208b8c9,Копирайтинг и редакция текста,train
N_1b0e70a53a8d1bb97321fde6,Копирайтинг и редакция текста,dev
N_4f07f19a4236883877f89042,Копирайтинг и редакция текста,train
N_a76f2d2cc8f5386c9b1fb809,Копирайтинг и редакция текста,train
N_b1d9575e073fa2748ca00c22,Копирайтинг и редакция текста,dev
N_0bdc1d28182835897130a35d,IT-разработка и цифровые сервисы,dev
N_b1fb6730539fdf8644d00098,IT-разработка и цифровые сервисы,train
N_e5d1902fa89e1c37ace011bb,IT-разработка и цифровые сервисы,train
N_184eea6951a86bf1e6c5cde1,IT-разработка и цифровые сервисы,train
N_8fb16dad3630003d3d77c4aa,IT-разработка и цифровые сервисы,train
N_1d4f2456cc8b7409ffc95ad1,IT-разработка и цифровые сервисы,train
N_f4bc9f0c11d3b2b89b95fe4a,Дизайн,train
N_e9fbd9519908b556a10e4baa,Дизайн,dev
N_bf9656a85552afa6f08b0749,Дизайн,train
N_7b88edbbca6d35229123178d,Дизайн,train
N_93808ab7f656da1a318b61c4,Дизайн,train
N_d0e3fe9e7157a2fc7b852a1f,Дизайн,train
N_a4b10ed2340fd409ca70d37f,Дизайн,train
N_a25a991303a89caf6c51488b,Дизайн,train
N_c611aea5110debcbb05449ba,Дизайн,train
N_ff89e8a09fe932f158a883ca,Дизайн,train
N_8a18e3975f65ea94ba603e11,Дизайн,train
N_d96a2851ffa8d6fc5b600d86,Дизайн,train
N_169bf49245186d61f140cb2a,Дизайн,train
N_4a483325e48f6ccb67235bdc,Дизайн,train
N_166fdbcf7e3a4265566dd25d,Дизайн,train
N_dbc0697baf7d6d6bf4e72f33,Дизайн,dev
N_e76228de58763f7927f1f5de,Дизайн,train
N_ecfe354e7eb6ba2cc9899d78,Дизайн,train
N_f81739eead658a37ccdfbd4d,Дизайн,train
N_5dee2a3827463d229812b8c6,Дизайн,train
N_680f633bf4e967da11e007d6,Дизайн,train
N_637542f67021d7508508ff37,Дизайн,dev
N_6691ab0b2580885f73f34482,Дизайн,dev
N_9db6fa950e60e9c9183df9ef,Дизайн,train
N_c4f3e27bceec7f6cc6206546,IT-разработка и цифровые сервисы,dev
N_8cda0954cd24015c30f63af5,Дизайн,train
N_2a6dfb31ddbb65bfcc6de9ee,Дизайн,train
N_a08d0adfcc3f963553838fa9,Дизайн,dev
N_1ba191e38237b81dede66151,Дизайн,train
N_76916b43f5d22ce129fbdc13,Дизайн,train
N_f084052ada5911e18c7c8791,Дизайн,train
N_db174e0bcf5217726586e932,Дизайн,train
N_f3016d8bee48e04f52fb6510,Дизайн,dev
N_94fb55654d0fd84a53ee27d2,Дизайн,dev
N_cde4dd8f72205114b11702ee,IT-разработка и цифровые сервисы,train
N_c7cc167016b654ace83c775d,Дизайн,train
N_3900a9364283df3e669b9ff7,Дизайн,dev
N_83413b99c6503413ea4be5e7,Дизайн,train
N_95b089511aaf6550b0d8a134,Дизайн,train
N_42fd90f2705a585743654394,Дизайн,dev
N_c0d569f8212ae2107ed72c37,Дизайн,train
N_a0f6b96a747e11538e157a9d,IT-разработка и цифровые сервисы,train
N_e1b4fe85f2bc12b32e9f2082,Дизайн,dev
N_e21084fe360a7dd82650567b,Дизайн,train
N_bc0bd1013c89af8e6561749c,Дизайн,dev
N_b78f64d54be64004611576c3,Дизайн,train
N_72201ae9317c2225f8da628d,IT-разработка и цифровые сервисы,train
N_e073aa3512a559cf1792d0d2,Дизайн,train
N_514d07c5b6c8c12565ea5af5,Дизайн,train
N_b1b30dca77881e2c42e22f51,Дизайн,dev
N_98d635007fb32fd7e5a51ba7,Дизайн,train
N_90716f17982949982656ca5d,Дизайн,train
N_3e13f56fa0abbe718a0a6124,IT-разработка и цифровые сервисы,train
N_14da9be73a9a483888b9aa44,Дизайн,train
N_020001e73a19d36d395956e2,Дизайн,train
N_b11c9369832f4532c262dcfb,Дизайн,train
N_13f52035148f73108e2dac31,Дизайн,train
N_4b7d20f577b223e29f81fdd3,Дизайн,train
N_6486d969ae80111d928c4c67,Дизайн,train
N_2e13d235ee639f319c3ddc5b,Копирайтинг и редакция текста,train
N_23a093321895ee69436e21c4,Дизайн,train
N_d03921392e5f29b947a869eb,IT-разработка и цифровые сервисы,train
N_112bd7dfe5b16160596d54e2,Дизайн,train
N_54b20e921a59a6f6ae2f0f2f,Дизайн,train
N_d27732417cfc2e07e607b51a,Дизайн,train
N_811ba0440099a7b9ea06069b,Дизайн,train
N_fc2a9c18b8826ecec3aef840,Дизайн,train
N_af1579cb951cf06771bff65d,Дизайн,train
N_f76e0649dc9ebf84bdd494a9,Дизайн,train
N_0037895cb89373c53d8a5074,Дизайн,dev
N_8a66ec8b12d4da1434ba3aab,Дизайн,dev
N_907321fbc97046f1616b6166,Дизайн,train
N_52e8df945bc2f1e1077e0981,Дизайн,train
N_db887cd6cb16bc88b6a17e8e,Дизайн,dev
N_05dbc0965cef5ae2ea6d0b18,Дизайн,train
N_2eaca74423a4a4be9b7f71f6,Копирайтинг и редакция текста,dev
N_0808318dbb21c4e4c1f61fc3,IT-разработка и цифровые сервисы,train
N_26cca27551c756ef699942d3,Дизайн,train
N_3f9eb4381244137cea22c9ae,Дизайн,dev
N_c7206938f201716e0298dd01,Дизайн,train
N_307f116f6445b19fb841737d,Дизайн,train
N_c4d84ce59acadfa3942b7db5,Дизайн,train
N_37918abd94fd20cc70093270,Переводы,train
N_6ad414af2b3681976f8b492b,Дизайн,train
N_6445a70c5f04cc2eff21e22e,Дизайн,train
N_b5b1b5966c8f353f3fb91f18,Дизайн,train
N_0b2de75be97a53c542d85b71,Дизайн,train
N_941d0be55e04de62f36dfb45,Дизайн,dev
N_c53e7b468af72d9212d2dea1,Дизайн,train
N_e89446ee441f2f8718d54a0f,Дизайн,train
N_209ea42e976d0214ea975ad6,Дизайн,train
N_74b861facd7799c89ce6d9c7,Дизайн,train
N_954ceb1befdd698d2791b818,Дизайн,dev
N_ed741ebc4dc2c44590df2cba,Дизайн,train
N_2ec476821374793516e49dcc,Дизайн,dev
N_e1a9ce19542c8c46177ddbc8,Дизайн,train
N_c73a75cb6c1c642d13bbb94b,Дизайн,train
N_bef5638dcc0ab179f398bb61,Дизайн,train
N_bc239e3539c63429d89abd18,Дизайн,dev
N_96520fc8ba75133ab66965fe,Дизайн,train
N_0efe10a6b9fb190bf4ccc7a1,Дизайн,train
N_c2924066e653b7292cfb4c39,Дизайн,train
N_ecdd64d9295bf30b5af347b4,Дизайн,train
N_1b66152831be76cbe812fd70,Дизайн,train
N_5532e4c0e6e5f8baeef7b910,Дизайн,dev
N_b497570ed2ccd6fc153a2148,Дизайн,train
N_fec51fd020db780cdf1eff54,Дизайн,train
N_2b4f2090a65e1d8295c2bde7,Дизайн,dev
N_2af82fb22bacf56fb41c3cb2,Дизайн,train
N_52c25d8da9e47fe774a61f35,Дизайн,train
N_34daf95160139b1af2b2781d,"Маркетинг (SMM, реклама, продвижение)",train
N_63524179583c9849737eeb56,Дизайн,train
N_c2ea477dc46362d1815b4351,Дизайн,train
N_b869e9a319e8aee95782ef2a,Дизайн,dev
N_5521f35fea0aa4208ad96abf,Дизайн,train
N_a6fda2ac076d6ca7aa00a0de,Дизайн,train
N_fd3675c74842cde1e89512a9,Дизайн,train
N_f42a9d929a5160188822eeb1,Дизайн,train
N_afaa7b753adc0248f45b9840,Копирайтинг и редакция текста,dev
N_186606deecf58dd237442d1a,Дизайн,train
N_a5fb00988e6c20b7cc8d3a0e,Дизайн,train
N_e12e2217759484e433476e7b,IT-разработка и цифровые сервисы,train
N_625ff7ed16b5688a45b4f738,Дизайн,dev
N_0135fd59f1bc7eaef6d2dc3c,Дизайн,dev
N_8b708bebf0e544de73cd5e80,Дизайн,train
N_4b38d1e5b43e4d488a63246d,IT-разработка и цифровые сервисы,dev
N_9d84eb41726953e1d4722eca,"Маркетинг (SMM, реклама, продвижение)",dev
N_d207f842a523ec49ea9e1f3a,Дизайн,train
N_410a785bfa6101cc86c5eac4,Дизайн,train
N_8255b6336281af465ef0a1d5,Дизайн,dev
N_a0894f0946df28b2aa0870d9,Дизайн,train
N_e7f3fe0df74fc2a9bb3285a2,Дизайн,train
N_abdeb09ccc7659bf816f6448,Дизайн,dev
N_4f9ef06b7b3a105981f691a0,Дизайн,dev
N_ce5ebebc527b69f3d60961e9,Дизайн,train
N_84e6980244f793795d1a3a80,Дизайн,train
N_f548047e6e321eafa8f54286,Дизайн,train
N_2e31eec45d2581ee38b318cb,Дизайн,train
N_5713950c324aee19abfea67d,Дизайн,train
N_725bd1b849ba2bd4940e76ff,Дизайн,dev
N_7e7c3a8f48b4cfb9028fcc39,Дизайн,train
N_6e9727aa49d5c7ae08d2be98,Дизайн,dev
N_a28328e5058309537b116e06,Дизайн,train
N_01888fa9dd881d7614810437,Дизайн,dev
N_138e351302f0df54225855fa,Дизайн,train
N_62736ad807416cff817ce0d5,Дизайн,dev
N_3f3b90a53fef2e65ecf0d5b4,Дизайн,dev
N_e471919c577c59e75d6dde16,Дизайн,train
N_b98deacbde808de6c7e107e4,Дизайн,train
N_b00d56f91a737946638bf61f,Дизайн,train
N_306c8807c3b1dd0320ce70a4,Дизайн,train
N_437607ade42d95e4516d3a52,Дизайн,train
N_eac9d499209b48833bc1a722,Дизайн,dev
N_76de194bc98d3bbd331dd561,Дизайн,train
N_88709e16d09417ef90b01929,Дизайн,train
N_1872d41099fa89d6b20cb99c,Дизайн,train
N_e91fa881034ad92294dd43bb,Копирайтинг и редакция текста,train
N_a9c9b83aa88ddce7879238a3,Дизайн,train
N_650ed40b30deb8a0c19687c1,Дизайн,dev
N_1c4618cb4374b8a3af81a2a3,Дизайн,train
N_0ad3025eea20fd2e264d4472,Дизайн,train
N_5b5925912d98b2403d9147e4,Дизайн,train
N_9dff63a8495bb391c388d921,Дизайн,train
N_45f9b4a199eef47de877eeed,Дизайн,train
N_b096e0b8ebc90c69b2d74d5f,Дизайн,train
N_669f655b19d663b8a5e49b4e,Дизайн,train
N_a4b4d02108b64fbaeb2e344b,Дизайн,train
N_3661342ebff384f33284d580,Дизайн,train
N_b8f9f29df9fe1ca227ecefa3,Дизайн,train
N_25fdf462102b720a6d7e0b10,Дизайн,dev
N_fb202f39d073b15820a30a5e,Дизайн,dev
N_a283a324c850475e7012eff5,Дизайн,train
N_67675c55e60275845a9d52c7,Дизайн,train
N_f1aef77bbc6c333033400935,Дизайн,dev
N_f9c90cb828072571f590c182,Дизайн,train
N_8883e8cc2425086211d74d7d,Дизайн,train
N_edf9d9de86d9d65a6d5aa629,Дизайн,train
N_b7ee58b0dd6f8fe402dd4ce0,Дизайн,train
N_aed26649e2563e2f02d38769,Дизайн,train
N_0fd0cfbade8078e585ba0c1c,Дизайн,train
N_ab6e9b050f9cdac47aef939a,Дизайн,train
N_e6339d39d5dc4b2d735ae0c5,Дизайн,train
N_94607d2fbf0fead9b2e01f55,Дизайн,train
N_dae7f00c89e01e11dc0a0f50,Дизайн,train
N_3b0ad4aaea67bfef22ca1fc0,Дизайн,dev
N_d834d0253f928133100e517f,Дизайн,train
N_8f142eb7bc2da8c5d3643962,Дизайн,dev
N_84eae9a339e8e6eba788a726,Дизайн,train
N_0f639f271630263cd3519630,Дизайн,train
N_d559bb4304d802a44db9909d,Дизайн,train
N_5b9c5fc98ec59e3596405ecd,Дизайн,dev
N_3c55a71845525ecfe7294566,Дизайн,train
N_d66f29802a57e4d4dcea8abc,Дизайн,train
N_049db17dbaf58d67279c8fbf,Дизайн,dev
N_a3758621758aab82ba3bf7f3,Дизайн,train
N_83be331109830131f678bdb7,Дизайн,train
N_1219eab0825945f1c3c8f55b,Дизайн,train
N_a1ef39c75065b5e173493ad8,Дизайн,train
N_fd237cc8328f26e9fc117215,Дизайн,train
N_e54a5d182fb42710c2f7ba08,Дизайн,train
N_285bbb813c62fa3a8a5317bd,Дизайн,train
N_8e621d29cfae833c59311345,Дизайн,dev
N_1023ba9626483b08f92287a6,Дизайн,train
N_3a03bac678807f6049a2eddc,Дизайн,train
N_76f3a9393bd667e0d709b890,Дизайн,train
N_69cd1435e023e41b04053087,Дизайн,dev
N_593122aa3c4f0df9582b70be,Дизайн,train
N_c39dba54c7c8e2d35424296d,Дизайн,train
N_7b337cba661328c6e419adb7,Дизайн,train
N_07f3a67aad5636cf5a0b6d19,Дизайн,train
N_52e8709e53893d33c39111b7,Дизайн,train
N_b0137a80dcfbb0bc488413db,Дизайн,train
N_fbc7275b02f309c46890ba7c,Дизайн,train
N_eca94add0975b87fdac680d1,Дизайн,dev
N_e5934e833a0fc3befd1e5db1,Дизайн,train
N_782f28f7e2ecbe9418c21428,Дизайн,dev
N_09e6010006f401f8d2ef5f56,Дизайн,train
N_da24c7e6431426f508385a04,Дизайн,train
N_35876a10e1f26b271f445dda,Дизайн,train
N_448a49493ee81caea7fb0b9e,Дизайн,train
N_c65cb171291eb39026e73a71,Дизайн,dev
N_8f3d3ed4ed6abcf65d2a41f2,Дизайн,train
N_55cce48a4b5ea5b52d81be38,Дизайн,train
N_ffe34966e9ba773714bb4e0a,Дизайн,train
N_70b8b58533a9ffa0a81d43c4,Дизайн,train
N_e5bf1c828baed285f4ff01a5,Дизайн,train
N_928ffbeb936e007868e02269,Дизайн,train
N_5749966592a6bd08cfa787fb,Дизайн,train
N_ca07a7b4570089b410014cb1,Дизайн,train
N_1255d9001e441529db53b098,Дизайн,train
N_cb30f8e9828093210729b867,Дизайн,train
N_77aff832a375112246e951e0,Дизайн,train
N_b2512ea9515b496ab7a3689f,Дизайн,dev
N_bbc5eb7d47688b4132a0ce00,IT-разработка и цифровые сервисы,train
N_72e710720127cf38a23951ca,IT-разработка и цифровые сервисы,train
N_cb5f7a2c4a1b9a4de3f847ce,IT-разработка и цифровые сервисы,train
N_b61627bad67230ea00ee0e6d,IT-разработка и цифровые сервисы,train
N_a486a68b8218ce3a1ec76e89,IT-разработка и цифровые сервисы,dev
N_2303ff6807953ce9b8b7474b,IT-разработка и цифровые сервисы,train
N_26c7e976c8161488ab704d3c,IT-разработка и цифровые сервисы,train
N_2fe19c2872026bf89bde3627,IT-разработка и цифровые сервисы,train
N_fa7f77e905a0c0a9d74d7ba3,Дизайн,train
N_6bdd9168de9315497a75ee24,Дизайн,train
N_762faa0cf9b51230ab6b7765,IT-разработка и цифровые сервисы,train
N_823ee05b6beeb18cb803e6d3,Дизайн,train
N_1f7890b7f9f8b3290a732dbe,Дизайн,dev
N_886fc53e704e1d6890d3bd7f,Дизайн,train
N_36fa53f530ca89944028dcad,Дизайн,train
N_010d1cd4b3dabaa37f416f09,Дизайн,train
N_4f2fe03257ed3577e4606545,Дизайн,train
N_328aa949622805cae4b03167,Юриспруденция,train
N_1305dad528ed3223f9b8b460,Юриспруденция,train
N_bd6bc452b7de512ac41334c3,Юриспруденция,dev
N_f77f81216751d5dc5a443ea2,Юриспруденция,train
N_70715d02754701a0a5c06f57,Юриспруденция,train
N_178ca1bc97def4d8fb6e0994,Юриспруденция,train
N_ddbbda617ddff11c756799bc,Юриспруденция,train
N_8b79631b9cf58767555dc3eb,Юриспруденция,train
N_ad7d1d47938b622390e84370,Юриспруденция,train
N_292b7d4403fbd7019657e4ad,Юриспруденция,dev
N_9c9ec091be99fbe8646e7eb6,Юриспруденция,train
N_87a5d4c9b06bcdaff978c238,Юриспруденция,train
N_7f7f0b2d2c7e1bd70d825281,Юриспруденция,train
N_4c85d59618a7c68bfa9d0efd,Юриспруденция,train
N_af44c939a301a03916c18381,Юриспруденция,train
N_e59fd4d37a91be761fb9808a,Юриспруденция,train
N_2246b28dbf02ff835290cc6e,Юриспруденция,train
N_24355061d107d706588eda87,Юриспруденция,train
N_aed5a48a80a948434122c418,Юриспруденция,train
N_5866928bc8d94844c2f9bbb9,Юриспруденция,train
N_937a3456412b6db6f736e489,Юриспруденция,dev
N_82c822cb44f3e10aaaa1fc5b,Юриспруденция,train
N_473242eb1b000853aa689c47,Юриспруденция,dev
N_67397028c430dfb945f9bd2f,Юриспруденция,train
N_b44a21cfbf0941cacd4402e7,Юриспруденция,train
N_2eb6554c01f10347a7bdd171,Юриспруденция,train
N_7e5d9e6cbbc695a39ea1f06e,Юриспруденция,dev
N_e27d2df16983388a39817832,Юриспруденция,train
N_4f1d5c5860a9402075669de6,Юриспруденция,train
N_5f9b408c46a199f2fd56994d,Юриспруденция,dev
N_6de66545e3e795b7c67ee57a,Юриспруденция,train
N_7e6e14e3dc53067cdcc797d8,Юриспруденция,train
N_0bacc27d074cbc10246bef80,Юриспруденция,train
N_58667cf8cfac6493438afc0a,Юриспруденция,train
N_8c3f12daf850b50fd7da771d,Юриспруденция,dev
N_7d5aac8a78b72706e4327599,Юриспруденция,train
N_f49c78f3b27ae6de250373aa,Юриспруденция,train
N_fc6c692056d36fecb7456124,Юриспруденция,dev
N_14434e02d21b9fc53dc606e8,Юриспруденция,train
N_e2cac23a1842c69b59e0c7b5,Юриспруденция,train
N_b11625c37466001fd447fa54,Юриспруденция,train
N_2fd0e55c87fbc7bfe7722737,Юриспруденция,dev
N_a800a4d724543a9f2a592eb6,Юриспруденция,train
N_b243356573ca5d214635253f,Копирайтинг и редакция текста,train
N_9d028fd38e01243b02541dbf,Копирайтинг и редакция текста,train
N_e2f1252642fa712a1a1b8643,IT-разработка и цифровые сервисы,train
N_c5a07232d8bb74385bcef1a3,Копирайтинг и редакция текста,train
N_7581f8a1ef5ed9762bb2747d,Копирайтинг и редакция текста,train
N_d057bb7aed0d800c004916f0,Копирайтинг и редакция текста,train
N_87586e55297f51744ad094a1,Копирайтинг и редакция текста,train
N_e757b98c084b9e860362585e,Копирайтинг и редакция текста,dev
N_047578757993b3fc13e828b4,Копирайтинг и редакция текста,train
N_ef271dcc026b7c877fa44cc5,Копирайтинг и редакция текста,train
N_2728474d41bb80d3d0b33420,Копирайтинг и редакция текста,dev
N_32681415309b575d6eec050b,Копирайтинг и редакция текста,train
N_e23c15666393a83e532d542b,Копирайтинг и редакция текста,train
N_cd36196a9deb32e208a175a5,Копирайтинг и редакция текста,train
N_7fb6954415b7707688ca62e8,Копирайтинг и редакция текста,train
N_8b4eb9151d905f991b461199,Копирайтинг и редакция текста,train
N_4a371f08815f6c625f0c6c2a,Копирайтинг и редакция текста,train
N_ea571b5d19f6fba34442b97b,Копирайтинг и редакция текста,train
N_ef73c8567afa40d9dc7169c1,Копирайтинг и редакция текста,train
N_3c09a6eea9e74b4e0df1b97e,Копирайтинг и редакция текста,train
N_fd834824d14acf52d798606c,Копирайтинг и редакция текста,dev
N_5386cd5c47d6e8fc5796541a,Копирайтинг и редакция текста,train
N_e7d8a9345e9f8b29ca87ddaf,Копирайтинг и редакция текста,train
N_fe40da7ff4a9a9cb028a3dc6,Копирайтинг и редакция текста,train
N_bb19791bde23a44aa62e058f,Копирайтинг и редакция текста,train
N_280fc089ce5f5e5f922b51cd,Копирайтинг и редакция текста,train
N_e37b4faae9aa97e260d11c1b,Копирайтинг и редакция текста,train
N_cdd311da276be520fa9e3993,Копирайтинг и редакция текста,train
N_97ac69196cbb69f7f34ff805,Копирайтинг и редакция текста,train
N_02d9d5a9ea4362a32da96971,Копирайтинг и редакция текста,train
N_3f8d80dd63bceaaf5f12899a,Копирайтинг и редакция текста,train
N_528e49d693cb2d474a00b2c8,Копирайтинг и редакция текста,train
N_2a7fedf23820916377fc27cb,Копирайтинг и редакция текста,dev
N_7e3e0302fa042035e736a3ed,Копирайтинг и редакция текста,train
N_0cf8c2fd906bc64c037972a7,Копирайтинг и редакция текста,train
N_9d9174cac193603b27d6b3ea,Копирайтинг и редакция текста,train
N_bb88188afd155eae22e2787e,Копирайтинг и редакция текста,train
N_a6e546de19dc6b0ef156e5fc,Копирайтинг и редакция текста,train
N_88a639123cc812ea45effa41,Копирайтинг и редакция текста,train
N_c4a542ddeb085ade6c8fdc8e,Копирайтинг и редакция текста,train
N_603df1cf6053359bdd2d6d8d,Копирайтинг и редакция текста,dev
N_6b3218da2ab9c301e0856b0b,Копирайтинг и редакция текста,train
