need_id,category,fold
N_6bdd9168de9315497a75ee24,Дизайн,1
N_6bfb7b1207f06b16fb32da0d,Копирайтинг и редакция текста,4
N_6c549503a83f4ef37bb7bc7b,Юриспруденция,2
N_6de66545e3e795b7c67ee57a,Юриспруденция,2
N_6e18a179ae66b02301073127,"Маркетинг (SMM, реклама, продвижение)",1
N_6f3d6d517d749d38a3ec8b14,Копирайтинг и редакция текста,3
N_6ff050d85608f3449fdc5685,IT-разработка и цифровые сервисы,1
N_7016739a98537bded6b90a5b,Копирайтинг и редакция текста,3
N_70496a59d5fc5764d6c62a61,"Маркетинг (SMM, реклама, продвижение)",1
N_70715d02754701a0a5c06f57,Юриспруденция,1
N_70abe3167ddd2566f6ebae3c,Строительство и ремонт,3
N_70b8b58533a9ffa0a81d43c4,Дизайн,3
N_7107a11424e7d223c9d76676,Дизайн,2
N_714aeb76a2b129672d483ecd,Юриспруденция,4
N_71df7301ed30050c02556f5f,Юриспруденция,3
N_72201ae9317c2225f8da628d,IT-разработка и цифровые сервисы,0
N_727420bc38d9bdbf2ee666b7,Юриспруденция,4
N_72aa62f63d1e6c89632bd317,IT-разработка и цифровые сервисы,4
N_72cc8413cc96769ebfff1b30,Дизайн,2
N_72e710720127cf38a23951ca,IT-разработка и цифровые сервисы,3
N_74092277738ea4f6a690b91f,Дизайн,0
N_74b861facd7799c89ce6d9c7,Дизайн,2
N_74cf3abc1b8a998d0b8bb91f,Дизайн,0
N_74e036f235e80f67258073cd,Юриспруденция,4
N_74f464dc92cf0b23eb50258f,Переводы,4
N_7525f5c825ce7e1ec768601f,Копирайтинг и редакция текста,2
N_757ef7adbd33bf079636ae87,Копирайтинг и редакция текста,0
N_7581f8a1ef5ed9762bb2747d,Копирайтинг и редакция текста,2
N_75bdb51bb6e54ecc86accb53,Юриспруденция,2
N_75df9825bbf1bc7eaefa6ea2,"Фото и видеосъемка, монтаж",3
N_762faa0cf9b51230ab6b7765,IT-разработка и цифровые сервисы,3
N_767cde65720207b3a6e52495,"Маркетинг (SMM, реклама, продвижение)",0
N_7690b8ca4bccde189d4db3fe,Дизайн,1
N_76916b43f5d22ce129fbdc13,Дизайн,0
N_76de194bc98d3bbd331dd561,Дизайн,3
N_76f3a9393bd667e0d709b890,Дизайн,4
N_77aff832a375112246e951e0,Дизайн,0
N_77ebc809c64b8c45f4641f96,Копирайтинг и редакция текста,1
N_7808a59cdcec2536e7885ddb,"Маркетинг (SMM, реклама, продвижение)",2
N_783150a8b3070e8ed3ea85ea,Дизайн,1
N_79b8b143f4548353c36249cd,Дизайн,3
N_7a67623ca427490b1f1b393e,Копирайтинг и редакция текста,4
N_7b337cba661328c6e419adb7,Дизайн,4
N_7b50bfb1266952a66c1368c8,Дизайн,1
N_7b88edbbca6d35229123178d,Дизайн,2
N_7c78e76586c65611b20d369a,Переводы,3
N_7c859519f4ea82d07ec26792,"Маркетинг (SMM, реклама, продвижение)",0
N_7c8aecb18c58a9397f076ebd,"Маркетинг (SMM, реклама, продвижение)",4
N_7ce352b0636771486e0c09d6,"Маркетинг (SMM, реклама, продвижение)",3
N_7d3e725a4160d813ab382bed,"Маркетинг (SMM, реклама, продвижение)",2
N_7d4ed39589923503f993feea,Копирайтинг и редакция текста,1
N_7d5aac8a78b72706e4327599,Юриспруденция,1
N_7e222fd21376b83621fd57ce,IT-разработка и цифровые сервисы,1
N_7e3e0302fa042035e736a3ed,Копирайтинг и редакция текста,1
N_7e6e14e3dc53067cdcc797d8,Юриспруденция,0
N_7e7c3a8f48b4cfb9028fcc39,Дизайн,0
N_7f05cc1dbe0cfa08d68f35e9,Дизайн,2
N_7f1f22b6f6332ea9242f59f1,Копирайтинг и редакция текста,3
N_7f44b5a70ac846405f4d8316,Переводы,0
N_7f628abe281c81eae029f5bc,Копирайтинг и редакция текста,4
N_7f7f0b2d2c7e1bd70d825281,Юриспруденция,4
N_7fb11c3ca6eaecfe98a68492,"Фото и видеосъемка, монтаж",4
N_7fb6954415b7707688ca62e8,Копирайтинг и редакция текста,3
N_811ba0440099a7b9ea06069b,Дизайн,2
N_819274ac925fca2bc12c5392,Копирайтинг и редакция текста,4
N_823ee05b6beeb18cb803e6d3,Дизайн,3
N_826552e7104d36ce85b73b58,IT-разработка и цифровые сервисы,1
N_82c822cb44f3e10aaaa1fc5b,Юриспруденция,3
N_83356aa5cfc6da87345a74b7,Дизайн,1
N_83413b99c6503413ea4be5e7,Дизайн,4
N_834354184e066e84688168dc,Копирайтинг и редакция текста,4
N_83a86d510a7ba44e22eb3aa4,Копирайтинг и редакция текста,2
N_83be331109830131f678bdb7,Дизайн,0
N_8437a44146693e035059757e,Юриспруденция,4
N_84e6980244f793795d1a3a80,Дизайн,2
N_84e73bc075c7fd97d781cc8a,"Маркетинг (SMM, реклама, продвижение)",1
N_84eae9a339e8e6eba788a726,Дизайн,1
N_8672a63db666ca0b3a78b6fb,IT-разработка и цифровые сервисы,3
N_87586e55297f51744ad094a1,Копирайтинг и редакция текста,1
N_87738f8140b8fa8bc48840d1,Дизайн,1
N_87a5d4c9b06bcdaff978c238,Юриспруденция,0
N_87ac26c94a28a1ff912df44e,Помощь на дому,4
N_8802136da7e96b9d0d1ac28d,IT-разработка и цифровые сервисы,0
N_883d84a401aa9627c9ad6423,"Маркетинг (SMM, реклама, продвижение)",0
N_884f57aa0f27cb193481edf7,Юриспруденция,2
N_886fc53e704e1d6890d3bd7f,Дизайн,1
N_88709e16d09417ef90b01929,Дизайн,2
N_887413367ab316224e612afb,Переводы,2
N_8883e8cc2425086211d74d7d,Дизайн,0
N_88a639123cc812ea45effa41,Копирайтинг и редакция текста,3
N_88a7545ef1bb2554bfe808a7,"Маркетинг (SMM, реклама, продвижение)",3
N_8958b88191244b4f8509f422,Строительство и ремонт,3
N_897df110a2ccf3f76171c05d,Юриспруденция,1
N_89dcb4fe1291b5105a2ff20c,Дизайн,3
N_8a1421d164e7a7f3bbd5c787,Дизайн,2
N_8a16c7f4e04a628227f062b1,"Фото и видеосъемка, монтаж",2
N_8a18e3975f65ea94ba603e11,Дизайн,3
N_8ab8e0326846c2fd58dafcdb,IT-разработка и цифровые сервисы,4
N_8b0be13027ad3bbaf8a33f8f,Строительство и ремонт,2
N_8b4eb9151d905f991b461199,Копирайтинг и редакция текста,4
N_8b708bebf0e544de73cd5e80,Дизайн,3
N_8b79631b9cf58767555dc3eb,Юриспруденция,1
N_8b84f1c7db72c02916cde0fb,"Маркетинг (SMM, реклама, продвижение)",2
N_8bcb1eb0765df7c3cbf84c3e,"Фото и видеосъемка, монтаж",4
