candidate_id,category,subcategory,task_summary,skills
C_cb48bc62a2ca6cd449224ec5,,,"{
  ""category"": ""Бухгалтерский учет"",
  ""subcategory"": ""Услуги бухгалтера"",
  ""skills"": [
    ""бухгалтерское сопровождение"",
    ""подготовка отчетности"",
    ""расчёт заработной платы"",
    ""взаимодействие с налоговыми органами""",
C_3e3cf90286fdeb6b347a3bb4,Художественное творчество,Карикатуры и портреты,,"['портреты', 'графические карандаши', 'акварель', 'масло на холсте']"
C_e74be5b9a81dc5fc8188ac3a,Красота и здоровье,Маникюр и педикюр,,"['наращивание ресниц', 'теоретическое обучение', 'практическая отработка']"
C_addbd581e066bfa1c29f6e2f,Юридические услуги,Правовая поддержка бизнеса,,"['подготовка документов', 'анализ документов', 'закупки', 'соглашения']"
C_ddea30f3d988f511c6cfc64e,,,"{
  ""category"": ""Красота и здоровье"",
  ""subcategory"": ""Уход за волосами"",
  ""skills"": [
    ""восстановление волос"",
    ""реконструкция волос"",
    ""обучение уходу за волосами"",
    ""полировка волос"",
    ""кератиновое выпрямление"",
    ""боток",
C_a7fcafcdee1f5129a363f7e8,Художественное творчество,Карикатуристика и портретная живопись,,"['портреты', 'картины', 'художественная техника']"
C_dbe6459809a4c4b4edcc0f61,IT-разработка,Веб-разработка,,"['Tilda', 'разработка сайтов', 'дизайн', 'адаптация под мобильные устройства', 'интерактивные элементы']"
C_043ebbd7120f2bbbf106b319,Строительство,Бухгалтерское сопровождение строительных проектов,,"['составление смет', 'использование специализированного ПО', 'работа с проектами']"
C_f33695650f632dec7ef61c97,Видеомонтаж,Видеография,,"['видеомонтаж', 'свадебные видео', 'социальные сети', 'фото под музыку']"
C_b11c2a52c3bd2966ab07ef1c,Дизайн,Графический дизайн,,"['пригласительные', 'постеры', 'авторский дизайн']"
C_41e53976da90ec61229bb96a,IT-разработка,Веб-разработка,,"['разработка сайтов', 'адаптивный дизайн', 'кроссбраузерная совместимость', 'интеграция домена и хостинга']"
C_40ebf8a4c0160e9fdbd71f31,Маркетинг,Онлайн-маркетинг,,"['рекламные стратегии', 'таргетированная реклама', 'написание текстов']"
C_95689cd19b348f20e1e82d7b,HR-консалтинг,Обучение и развитие персонала,,"['бизнес-тренинги', 'обучение персонала', 'системы оценки эффективности', 'адаптация новых сотрудников']"
C_1463ea8971632494aabccc20,Мероприятия и team-building,Team-building активности,,"['организация командных игр', 'покер', 'встречи и мероприятия', 'взаимодействие с клиентами']"
C_2157b0584cd3384bc7ea63c0,Музыка,Исполнительская деятельность,,"['виолончель', 'выступления', 'торжественные события']"
C_fd2256c8e4fa2fdb395004d2,,,"{
  ""category"": ""Красота и здоровье"",
  ""subcategory"": ""Косметология и эстетика"",
  ""skills"": [
    ""обучение косметологии"",
    ""эстетическая медицина"",
    ""пилинги"",
    ""мезотерапия"",
    ""методы чистки кожи""",
C_42a91207d53e5c4502b3ff5c,,,"{
  ""category"": ""Дизайн"",
  ""subcategory"": ""Иллюстрация и концепт-арт"",
  ""skills"": [
    ""иллюстрации"",
    ""концепты персонажей"",
    ""портреты по фото"",
    ""арты по играм и фильмам"",
    ""иллюстрации к книгам"",",
C_0f4708bfeaaae18d01ae502b,,,"{
  ""category"": ""ИТ-техническая поддержка"",
  ""subcategory"": ""Материнские платы и периферия"",
  ""skills"": [
    ""ремонт компьютеров"",
    ""установка ОС"",
    ""восстановление данных"",
    ""антивирусная защита"",
    ""чистка оборудования""",
C_a39767b7e24ab36bf86c639a,Бухгалтерские услуги,Аудит и консалтинг,,"['ведение бухгалтерского учета', 'подача отчетности', 'налоговое консультирование']"
C_aafef9d799f17522f4072197,Маркетинг,Продвижение и продажи,,"['анализ упаковки', 'план воронки продаж', 'прогрев аудитории', 'tworстишки']"
C_dd4078821a19e0b4ab300047,Финансы и бухгалтерия,Бухгалтерский учёт,,"['учёт', 'настройка ПО', 'себестоимость', 'первичная документация', 'инвентаризация']"
C_c3351c3735c92e04451dd626,IT-разработка,Автоматизация бизнес-процессов,,"['автоматизация логистики', 'маршрутизация доставки', 'оптимизация транспортных операций']"
C_e8f2939f8f1a5ed84797b25b,Маркетинг,Контекстная реклама и автоматизация коммуникаций,,"['контекстная реклама', 'разработка чат-ботов', 'продвижение в онлайн-формате']"
C_8a121f1def32ea58896deaef,Фотография,Модельное шоу и косплей,,"['косплей', 'художественная фотография', 'фотосъемка моделей']"
C_3e619b797a6805975e606308,Бухгалтерские услуги,Налоговый и бухгалтерский учет,,"['ведение бухгалтерского учета', 'расчет зарплат', 'подготовка отчетности', 'налоговое планирование']"
C_5f09f848357426ad18f106ad,Физическая культура и спорт,Единоборства и тренировка,,"['тренировочная техника', 'ударная техника', 'борцовская техника', 'физическая подготовка']"
C_7c35a73ee273bd314427a1a2,Юридические услуги,Правовая помощь в недвижимости,,"['подготовка схем КПТ и СРЗУ', 'оформление земельных участков', 'подача заявлений']"
C_ef565a033c0b6afdf042f302,Маркетинг,Реклама,,"['неоновые вывески', ' reklama', 'installation']"
C_b8579fd0db84849ed077d63f,Маркетинг,Цифровое продвижение,,"['настройка социальных сообществ', 'таргетированная реклама', 'SEO-оптимизация контента']"
C_1c50feece7276e4bd8ec788d,Бухгалтерский учет,Коммерческая недвижимость,,"['ведение договоров', 'формирование актов', 'сверки с контрагентами', 'обработка арендных платежей']"
C_9f49de4b1e791b81737edee6,IT-разработка,Автоматизация бизнес-процессов,,"['настройка Битрикс24', 'интеграция систем', 'автоматизация задач', 'оптимизация бизнес-процессов']"
C_702200365e7afd456f95fa3e,Дизайн,Графический дизайн,,"['UX/UI-проектирование', 'веб-дизайн', 'графический дизайн', 'Adobe Photoshop', 'Figma', 'печатная продукция']"
C_836684c9d808869e1750f344,Маркетинг,Реклама,,"['размещение рекламы', 'tworship', 'короткометражные видео', 'партнёрские программы']"
C_39db473a67023c441fee4163,Мероприятия иEvents,Праздник иEvent организации,,"['организация мероприятий', 'анимационные программы', 'сервировка', 'музыкальное сопровождение']"
C_95c405ebfcdae882d90392f8,Дизайн,Иллюстрация,,"['иллюстрации', 'различные стили', 'createElement']"
C_dd06a4e80fadfbb13c1e6a62,,,"{
  ""category"": ""Юридические услуги"",
  ""subcategory"": ""Бизнес-юриспруденция"",
  ""skills"": [
    ""регистрация юридических лиц"",
    ""открытие банковских счетов"",
    ""подготовка уставов"",
    ""налоговые отчеты"",
    ""трудовые договора""",
C_28a466e54b8ae0f90a8e88d4,Дизайн,Печать и брендирование,,"['УФ-печать', 'широкоформатная печать', ' reklamные носители']"
C_83b86b600b73fb80c4e92f9f,Красота и здоровье,Маникюр и педикюр,,"['обучение бровисту', '.Techniques of eyebrow shaping', 'окрашивание бровей', 'уход за бровями']"
C_43bde0c1b60c33d2af1097aa,Красота и здоровье,Мастер-классы и обучение,,"['ногтевой сервис', 'депиляция', 'косметология', 'спа-процедуры']"
C_a288e57344368a4df5cd0212,Медиа и производство контента,Видеопроизводство и аудиозапись,,"['录制播客', '视频拍摄', '音频录制', '活动组织']"
C_d2ea187ed8825e7edd77bc31,Юридические услуги,Правовая поддержка,,"['подготовка документов', 'исковые заявления', 'юридические консультации']"
C_097ce4c948fc9a22d32d2de0,,,"{
  ""category"": ""Финансы и бухгалтерия"",
  ""subcategory"": ""Налоговый учет"",
  ""skills"": [
    ""налоговые вычеты"",
    ""подготовка деклараций 3-НДФЛ"",
    ""собирание документов"",
    ""проверка документов"",
    ""организация",
C_9b0de94b3e8012512a050098,Строительство,Кровельные работы,,"['монтаж крыш', 'утепление', 'работа с металлочерепицей']"
C_a949cab0240b2f084dfb9d9f,Уборка и клининг,Жилая уборка,,"['генеральная уборка', 'использование оборудования', 'экологичные средства']"
C_e55ba8bdff5e6e5043fd7f04,IT-разработка,Веб-разработка и дизайн,,"['создание сайтов', 'графический дизайн', 'логотипы', 'баннеры']"
C_d80cdff853959a8cc60a24b0,Маркетинг,Контекстная реклама,,"['настройка Яндекс.Директ', 'оптимизация рекламных кампаний', 'стратегическое планирование', 'аналитика']"
C_efaf91ee9c1ed6f616d60f70,Видеопроизводство,Многокамерная съемка,,"['многокамерная съемка', 'организация мероприятий', 'создание контента', 'выход на платформы']"
C_959b474d15d2cccd5460585a,Аудиопроизношение,Озвучивание,,"['набор текста', 'озвучивание', 'видео', 'подкасты', 'аудиокниги', 'презентации']"
C_43f6e9cc3e39acf9a589fc44,Дизайн,Интерьерный дизайн,,"['проектирование интерьеров', 'индивидуальный дизайн', 'комфортабельные решения', 'координация с архитекторами']"
C_0603977f7f46817274b401e5,,,"{
  ""category"": ""Маркетинг"",
  ""subcategory"": ""Мероприятия и событийное продвижение"",
  ""skills"": [
    ""проведение мероприятий"",
    ""составление программ"",
    ""работа диджея"",
    ""создание персонализированных планирований""",
C_c5df8cfabe8a60e079878024,Дизайн,Моушн-дизайн,,"['анимация', 'After Effects', 'Premiere Pro', 'Illustrator', 'композитинг', 'саунд-дизайн']"
C_a828280f4f51f685aa35d0f4,Маркетинг,Реклама,,"['Яндекс.Директ', 'ВКонтакте', 'системы аналитики', 'CRM', 'оптимизация рекламных кампаний']"
C_8196346a0544565c67a9a447,ИТ-техническая поддержка,Монтаж и ремонт ПК,,"['ремонт компьютеров', 'ремонт ноутбуков', 'сборка ПК', 'техническая поддержка']"
C_967d015e80df5e6f9e4620f1,Дизайн,Интерьерный дизайн,,"['подбор мебели', 'цветовые решения', 'визуализация проекта']"
C_dc72e2fc4926eb04bbbced5b,Дизайн,Графический дизайн,,"['логотипы', 'инфографика', 'баннеры', 'веб-дизайн']"
C_ba8ed6d3921d6e52839c3f2b,Кадровое агентство,Подбор персонала,,"['подбор персонала', 'рекрутинг', 'garanty of result']"
C_a3b408226253ce7baa15c3c7,,,"{
  ""category"": ""Красота и здоровье"",
  ""subcategory"": ""Маникюр и макияж"",
  ""skills"": [
    ""наращивание ресниц"",
    ""ламинирование ресниц"",
    ""ботокс для ресниц"",
    ""création бровей"",
    ""обучение косметологии",
C_9b9000164402d9f1d0cfe1d8,Переводческие услуги,Письменный перевод,,"['английский язык', 'испанский язык', 'русский язык', 'юридические документы', 'подготовка документов', 'редактирование переводов']"
C_987072b527fe1fac1c599fdd,Юридические услуги,Уголовное и гражданское право,,"['юридическое сопровождение', 'подготовка документов', 'консультации']"
C_385692f3618fb51dca6f8ac9,,,"{
  ""category"": ""Услуги по уборке и чистке"",
  ""subcategory"": """",
  ""skills"": [
    ""генеральная уборка"",
    ""химчистка"",
    ""уборка после ремонта"",
    ""поддерживающая уборка"",
    ""чистка мягкой мебели"",
    ""чистка ков",
C_0e8be398eaaea29ccacf1f2c,Логистика,Перевозки,,"['перевозка грузов', 'помощь в погрузке', 'услуги по переездам']"
C_8a4219646a0de447addcd11f,Физиотерапия,Массажист,,"['классический массаж', 'лимофодренажный массаж', 'антицеллюлитный массаж', 'обучение массажу', 'индивидуальный подход']"
C_1596c05facb5f77d3529afb7,IT-разработка,Программирование,,"['C++', 'разработка игр', 'SQL', 'цифровые навыки']"
C_7ebfe273b02555ded9880749,IT-разработка,Веб-разработка,,"['одностраничные сайты', 'лендинги', 'адаптивность', 'формы обратной связи', 'техподдержка']"
C_56c5187a9ed041aa2b8f3bf8,Логистика,Перевозка грузов,,"['перевозка грузов', 'логистика', 'региональные перевозки']"
C_f0270d6c988f3fe5463eeedc,Бухгалтерский и налоговый учет,Бухгалтерские услуги,,"['бухгалтерский учет', 'налоговое планирование', 'сдача отчетности', 'финансовое сопровождение']"
C_5dffd7fa290b9de1040d3487,Услуги по уборке,,,"['генеральная уборка', 'ежедневная уборка', 'уборка после ремонта']"
C_d7102b2afaa7f0536bf94e6f,Обработка данных,Корректировка и ввод данных,,"['ввод текста', 'обработка документов', 'Word', 'PDF']"
C_6a875ffd0a308b06b98f70d4,Бьюти-индустрия,Обучение и консультирование,,"['проведение курсов', 'наращивание ресниц', 'ламинирование ресниц', 'обучение бровистов']"
C_c3bc9d75728f4c77b401bb46,IT-разработка,Автоматизация бизнес-процессов,,"['Python', 'разработка торговых роботов', 'настройка VPS', 'инструкции']"
C_2d4d49e0512d7d39d32a8f5a,Видеография,Видеосъёмка и монтаж,,"['съёмка видео', 'монтаж видео', 'создание контента для Reels', 'съёмка мероприятий', 'бизнес-событий']"
C_3968cdf8c5d75594c06dae61,Красота и здоровье,Стрижка и уход за волосами,,"['наращивание волос', 'обучение', 'тренинги']"
C_51f6cb42e3f0963d57457602,Маркетинг,SMM и контент-менеджмент,,"['SMM', 'контент-маркетинг', 'аналитика', 'повышение вовлеченности', 'ведение социальных сетей']"
C_7e1b700fd12fc15ebf90ee1f,Красота и здоровье,Уход за волосами,,"['кератин', 'ботокс для волос', 'холодное восстановление', 'диагностика волос', 'уход за волосами']"
C_11e08ee6d75f3bd712a58172,Копирайтинг и дизайн,Копирайтинг,,"['подготовка текстовых материалов', 'конспекты', 'иллюстрации', 'адаптация под почерк']"
C_caba1276c864f736ca371482,Дизайн,Интерьерный дизайн,,"['планировка интерьеров', 'визуализация', 'чертежи', 'авторское сопровождение']"
C_5a39597d8c0e9750ae9fd4e3,Дизайн,Рекламный дизайн,,"['объемные буквы', 'наружная реклама', 'интерьерная реклама', 'печать', 'эскизы']"
C_ab15b84cc512680f58ab7d1e,Образование,Поддержка студентов,,"['перепись текстов', 'форматирование работ', 'подготовка конспектов']"
C_74dd427af3a1abdc05095cd6,Маркетинг,Контекстная реклама и цифровой маркетинг,,"['настройка рекламных кампаний', 'SEO', 'аналитика', 'современные методики и технологии']"
C_135b1279f2b94ce9bf6e2b7d,,,"{
  ""category"": ""Бухгалтерский учет и налогообложение"",
  ""subcategory"": ""Ведение бухгалтерского учета"",
  ""skills"": [
    ""ведение учета"",
    ""подготовка отчетности"",
    ""налогообложение"",
    ""кадровый учет"",
    ""расчет зарплат""",
C_b3863eab2e15686acdfe4248,Художественное искусство,Татуировка,,"['обучение татуировке', 'практические занятия', 'работа с живыми моделями', 'выдача сертификатов']"
C_2e322114137ca52ed26e6b65,Копирайтинг,Контент-маркетинг,,"['текстовая редактура', 'доклады', 'презентации', 'ответы на билеты']"
C_221154535262aff5532c0e70,Косметология и красота,Наращивание волос,,"['наращивание волос', 'биопротеиновые волосы', 'мелирование', 'вагинальное наращивание', 'цветные пряди']"
C_7be42e115449b889c86333e1,Мультимедиа,3D-анимация,,"['создание мультфильмов', '3D-анимация', 'разработка сюжета', 'создание персонажей']"
C_2223d44819561242f86915f4,Маркетинг,Цифровой маркетинг,,"['таргетированная реклама', 'настройка рекламных кампаний', 'анализ аудиторий']"
C_454e7f4c4aef6d6023bed0d8,Финансовые услуги,Электронные платежи,,"['международные переводы', 'оплата зарубежных платформ', 'обработка онлайн-покупок']"
C_024abcf95a2b0ea87f7ffbed,,,"{
  ""category"": ""Маркетинг"",
  ""subcategory"": ""Контекстная реклама и аналитика"",
  ""skills"": [
    ""настройка контекстной рекламы"",
    ""использование аналитических инструментов"",
    ""подбор ключевых слов"",
    ""анализ рынка"",
    ""опт",
C_aa037a8166f7b30851b31123,Маркетинг,SEO и продвижение,,"['Авито', 'анализ ниши', 'tworiting', 'вывод в ТОП', 'массовый постинг']"
C_ca93f050f80bd253512423a9,Художественная деятельность,Иlluminart и цифровое искусство,,"['реалистичные портреты', 'использование ИИ', 'объединение фотографий', 'реставрация фотографий']"
C_61e4537e22a1c350fba122e4,,,"{
  ""category"": ""ИТ-поддержка"",
  ""subcategory"": ""Поддержка ПК и ноутбуков"",
  ""skills"": [
    ""диагностика"",
    ""ремонт"",
    ""установка ОС"",
    ""антивирусы"",
    ""офисные приложения"",
    ""чистка устройств"",
    ""ап",
C_f6690d038b29250c97c81c83,,,"{
  ""category"": ""Редактура и копирайтинг"",
  ""subcategory"": ""Редактура и корректура"",
  ""skills"": [
    ""академическая редактура"",
    ""художественная редактура"",
    ""вычитка"",
    ""орфографическая корректура"",
    """,
C_566262d25e682e220f909751,Фотография,Удалённая съёмка,,"['фотосъёмка', 'обработка изображений', 'удалённая работа']"
C_b29553cef29b6073e1e402fd,Печать и полиграфия,Печать материалов,,"['печать фотографий', 'печатные материалы', 'профессиональное оборудование', 'оригинальные чернила']"
C_958178a0de3a6d63e52cb9e3,Маркетинг,Аудиторский анализ,,"['идентификация аудитории', 'подготовка клиентов', 'маркетинговые исследования']"
C_9bfed0c686e84cda50323b1e,,,"{
  ""category"": ""IT-разработка"",
  ""subcategory"": ""Веб-разработка и маркетинг"",
  ""skills"": [
    ""SEO"",
    ""контекстная реклама"",
    ""разработка сайтов"",
    ""интеграция разработки и продвижения"",
    ""соответствие нормативным требованиям",
C_023516735c7cea9739935d0b,Услуги по уборке,,,"['влажная уборка', 'генеральная уборка', 'уборка после мероприятий', 'уборка после переезда']"
C_a68b231ca03a92b1c260676d,IT-обучение,Нейронные сети и искусственный интеллект,,"['нейросети', 'искусственный интеллект', 'ChatGPT', 'обучение ИИ']"
C_dc313929789443c7d983cce7,Маркетинг,Контент-маркетинг,,"['съёмка видео', 'фотография', 'публикация контента', 'создание контента']"
C_4f563d9962c64805e624179e,Юридические услуги,Гражданское право,,"['консультации', 'подготовка документов', 'анализ договоров', 'защита прав при ДТП', 'страховое возмещение']"
C_0139f6bfc605074fe49bcb4c,IT-разработка,Веб-разработка,,"['UX/UI-дизайн', 'конверсия', 'SEO', 'работа с Tilda', 'разработка сайтов']"
C_62e89cc05a2e696c18f53bb1,Художественное творчество,Роспись одежды,,"['акриловые краски', 'рисование на одежде', 'подготовка эскизов']"
C_6833f7fb0d089374aa9856da,Маркетинг,Контент-маркетинг,,"['создание презентаций', 'дизайн', 'структурирование контента']"
C_6e01b704fe62f9bfb0a6416c,Медиа и мультимедиа,Видеомонтаж,,"['видеомонтаж', 'редактирование видео', 'пост-продакшн']"
C_6a385fce1bf2d660b2df3f7a,Дизайн,Графический дизайн,,"['печать', 'презентации', 'обложки для соцсетей', 'видеомонтаж', 'музыка в видео']"
C_afd4eedb5087362236d08735,Дизайн,3D-визуализация,,"['3D-моделирование', 'фотореалистичные изображения', 'интерьеры', 'экстерьеры', 'предметное моделирование']"
C_ca290df3e2552d411016fe3e,,,"{
  ""category"": ""Ремонт и обслуживание электроники"",
  ""subcategory"": ""Ремонт компьютерной техники"",
  ""skills"": [
    ""восстановление ножек процессоров"",
    ""пайка контактов"",
    ""предварительное обсуждение условий"",
    ""проверка компонентов на тест",
C_0c412e3ee419dfde9b090611,Копирайтинг и редактура,Контент-менеджмент,,"['подготовка текстов', 'tworzenie презентаций', 'ввод текста из изображений', 'форматирование документов']"
C_31ed95131c90e74d6646026e,Юридические услуги,Правовое сопровождение бизнеса,,"['тендеры', 'госзакупки', 'подготовка документов', 'защита интересов клиента']"
C_527a46b7b85198788dc72431,Фотография,Коммерческая фотография,,"['фотосъемка', 'обработка изображений', 'цветокоррекция', 'репортажная съемка']"
C_0ba7769b5775ad5d2871cdac,,,"{
  ""category"": ""Переводческие услуги"",
  ""subcategory"": ""Письменный перевод"",
  ""skills"": [
    ""перевод с русского на немецкий"",
    ""перевод с русского на английский"",
    ""постредактирование"",
    ""корректура"",
    ""верстка машин",
C_fb5f047923412222762bbfae,Видеография,Съёмка и монтаж видео,,"['съёмка видео', 'цифровое преобразование видео', 'монтаж видео', 'видеосъемка мероприятий', 'визуальное оформление проектов']"
C_f4c08a7be51c9b61a3c50864,IT-разработка,Маркетинговые технологии,,"['продвижение цифровых решений', 'обмен контактной информацией', 'интеграция с социальными сетями']"
C_f9a35b83f2a2dfc01e91e36f,Юридические услуги,Консультационные услуги,,"['юридические консультации', 'подготовка документов', 'законодательство']"
C_dfe0007d847118f419a66ccc,Красота и здоровье,Груминг животных,,"['техники стрижки', 'использование косметики', 'обучение грумингу']"
C_3a0eeff666fe03d5ecd744ca,,,"{
  ""category"": ""IT-поддержка"",
  ""subcategory"": ""Автоматизация бизнес-процессов"",
  ""skills"": [
    ""интеграция ПО"",
    ""настройка ПО"",
    ""внедрение решений"",
    ""автоматизация учета"",
    ""техническая поддержка П",
C_b8f23296d5cda95821ffc68c,IT-разработка,Веб-разработка,,"['WordPress', 'Tilda', 'SEO', 'контекстная реклама', 'написание контента', 'SMM']"
C_333cf79bdc01b605e62324e2,,,"{
  ""category"": ""Медиа и видео"",
  ""subcategory"": ""Видеомонтаж и создание контента"",
  ""skills"": [
    ""видеомонтаж"",
    ""Adobe After Effects"",
    ""Adobe Premiere Pro"",
    ""tworzenie контента для социальных сетей"",
    "" reklамные ролики"",
    ""презентации",
C_7266acaecc5d7357d68362c1,Развлечения и шоу-бизнес,Мероприятия и арт-дирекция,,"['живое ведение', 'музыкальное сопровождение', 'интерактивные элементы']"
C_110f849eddaf8c84bf74fc2a,Юридические услуги,Банкротство и кредитное право,,"['банкротство физических лиц', 'корректировка кредитной истории', 'консультации по финансовым спорам', 'судебные действия']"
C_43b4c7d2b9e8425dfc4dc1e7,,,"{
  ""category"": ""ИТ-технический сервис"",
  ""subcategory"": ""Поддержка компьютеров"",
  ""skills"": [
    ""ремонт компьютеров"",
    ""диагностика"",
    ""настройка ПК"",
    ""установка ОС"",
    ""апгрейд оборудования"",
    ""чистка ПК"",
    ""терм",
C_bd8e5edb57bd65fb7ebe6958,Юридические услуги,Банкротство физических лиц,,"['банкротство физических лиц', 'оформление документов', 'проведение процедуры списания долгов']"
C_6bea2539fb05897b06d8be33,Юридические услуги,Формирование документов,,"['подготовка отчетных документов', 'оформление договоров', 'справки']"
C_42f9ca5d32c4f25de5892a86,Информационные технологии,Поддержка пользователей,,"['настройка Smart TV', 'Android-приставки', 'IPTV', 'цифровое телевидение', 'поддержка устройств']"
C_a18b13b249e64e6f6846eeec,Фотография,Свадебная и событийная фотография,,"['наружная съёмка', 'событийная съёмка', 'подбор образа', 'love story']"
C_ce31ca6c0c392f4f765aff2f,Маркетинг,SMM и брендинг,,"['социальные сети', 'графический дизайн', '.Branding']"
C_4dd02df8853db535b368b17d,,,"{
  ""category"": ""Дизайн"",
  ""subcategory"": ""Веб-дизайн и UX/UI"",
  ""skills"": [
    ""веб-дизайн"",
    ""UX/UI-проектирование"",
    ""брендинг"",
    ""разработка интерактивных прототипов"",
    ""Adobe Photoshop"",
    ""Figma""",
