need_id,category,subcategory,task_summary
N_3856a697ff10af2d84ba511e,IT-разработка и цифровые сервисы,настройка веб-платформ,Настройка и оптимизация веб-платформы
N_5f0f8de6b27a90efff70d629,IT-разработка и цифровые сервисы,настройка сайта,Настройка сайта и платежной системы
N_826552e7104d36ce85b73b58,IT-разработка и цифровые сервисы,Telegram-боты,Настроить донаты на ВКонтакте
N_ddb4011347a524bdf3516c5d,IT-разработка и цифровые сервисы,безопасность сайта,очистить сайт от вирусов
N_15e4011196f93475b857746b,Дизайн,графический дизайн,изменение аватара и настройка почтового сервера
N_e65ac749635c4825c9c70e19,IT-разработка и цифровые сервисы,настройка серверов,настройка почтовых серверов
N_bc421931ae6ce0fa16b443dc,IT-разработка и цифровые сервисы,настройка почтовых серверов,Настройка корпоративной почты
N_e0a8fda7f160531e09f464a8,IT-разработка и цифровые сервисы,разработка сайтов,подготовить техническое задание
N_27dac28fbfafa135b89d8777,IT-разработка и цифровые сервисы,автоматизация процессов,"перенос данных, настройка отчетности"
N_8ab8e0326846c2fd58dafcdb,IT-разработка и цифровые сервисы,SEO-аудит,выполнить анализ веб-аналитики и SEO
N_c6e3749427e3440b2798adc6,Переводы,письменный перевод,перевести статью на английский
N_04736dac521cf32c766f4635,Переводы,письменный перевод,перевести текст на английский
N_1424e1bcab932b38b38bd02d,Переводы,письменный перевод,перевести документы на английский
N_cf9d0a0444bcb1a0a641fff5,Переводы,письменный перевод,перевести статьи на английский
N_d89d61af9cf51c393044b491,Переводы,письменный перевод,перевести тексты на английский и русский
N_342cf2d67915fe86b3c61fea,Переводы,письменный перевод,перевести научные тексты
N_566e26ef2b1eb6bafc35ab38,Переводы,письменный перевод,перевести и отредактировать статьи
N_67a69175a0e104ba8ff77aca,Переводы,письменный перевод,перевести методическое пособие
N_a8140dc9cf0b5ea08ba62a03,Переводы,письменный перевод,перевести медицинский документ
N_ee8d9e1c96863cdd1379b50f,Переводы,письменный перевод,перевести тетрадь и статью
N_c837f6a4964a775ff427bf06,Переводы,письменный перевод,перевести документы с русского на английский и с английского на русский
N_56b2daf6eed18167a4adf346,Копирайтинг и редакция текста,корректура,вычитка текстов
N_3d79c559cf47457a22f92a1d,копирайтинг и редакция текста,корректура,вычитать текст
N_c1095db87a45d790d23b2f0e,копирайтинг и редакция текста,корректура,вычитка текста
N_d0ca16d345e1415e4f1b04d5,Копирайтинг и редакция текста,корректура,вычитка текста
N_7525f5c825ce7e1ec768601f,Копирайтинг и редакция текста,корректура,отредактировать текст
N_ca2b2e8c807c110d20666c35,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит сайта
N_3adb3fbd0631953c0e91348e,Копирайтинг и редакция текста,корректура,вычитка текста
N_a8bda74cc041a179bdccff66,Копирайтинг и редакция текста,корректура,выполнить корректорскую вычитку статьи
N_3e4f2e3b3c9e1906cef33ae6,Копирайтинг и редакция текста,корректура,вычитать текст статьи
N_5397fc2e365698a1e41d04ea,Копирайтинг и редакция текста,корректура,выполнить корректорскую вычитку текста
N_3fb61855a5e41c1d0a43bba3,копирайтинг и редакция текста,корректура,вычитка текстов
N_b80ff95f0c3f2d71afb97915,копирайтинг и редакция текста,корректура,проводить аудит и редактировать тексты
N_ff2343aba53f125c3e38b50f,Копирайтинг и редакция текста,корректура,вычитать текст
N_7f628abe281c81eae029f5bc,Копирайтинг и редакция текста,корректура,отредактировать тексты
N_96ba7fe1e95b15e5d4262ee9,Копирайтинг и редакция текста,корректура,вычитать текст
N_7016739a98537bded6b90a5b,Копирайтинг и редакция текста,корректура,вычитать текст
N_48e29046efe0935fb084cf35,Копирайтинг и редакция текста,корректура,вычитать текст
N_6a7e7ff5e63650c0a8e59aa4,Копирайтинг и редакция текста,корректура,выполнить корректорскую вычитку текста
N_2410eaf5b2ee956a92126725,копирайтинг и редакция текста,корректура,вычитать текст
N_2c285e699db3c10bd0d3a487,копирайтинг и редакция текста,корректура,вычитать текст
N_b7d6543a74effed49df3ba32,Копирайтинг и редакция текста,корректура,вычитка текста
N_e83f4443c0bfc00e391bb0e9,Копирайтинг и редакция текста,корректура,редактировать текст
N_931ae8d363c3f03d2208b8c9,Копирайтинг и редакция текста,корректура,вычитать текст
N_1b0e70a53a8d1bb97321fde6,Копирайтинг и редакция текста,корректура,вычитка текста
N_4f07f19a4236883877f89042,Копирайтинг и редакция текста,корректура,вычитать текст
N_a76f2d2cc8f5386c9b1fb809,Копирайтинг и редакция текста,корректура,выполнить корректорскую проверку текста
N_b1d9575e073fa2748ca00c22,Копирайтинг и редакция текста,корректура,выполнить корректорскую вычитку текстов
N_0bdc1d28182835897130a35d,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит и оптимизацию сайта
N_b1fb6730539fdf8644d00098,IT-разработка и цифровые сервисы,SEO-оптимизация,Анализ сайта и составление отчета
N_e5d1902fa89e1c37ace011bb,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит сайта
N_184eea6951a86bf1e6c5cde1,IT-разработка и цифровые сервисы,SEO,проводить SEO-аудит сайта
N_8fb16dad3630003d3d77c4aa,IT-разработка и цифровые сервисы,SEO,проводить SEO-аудит сайта
N_1d4f2456cc8b7409ffc95ad1,IT-разработка и цифровые сервисы,SEO-аудит,проводить SEO-аудит сайта
N_f4bc9f0c11d3b2b89b95fe4a,Дизайн,графический дизайн,создание афиши и презентации
N_e9fbd9519908b556a10e4baa,Дизайн,графический дизайн,создание письма и логотипа
N_bf9656a85552afa6f08b0749,Дизайн,графический дизайн,создать макет листа и буклета
N_7b88edbbca6d35229123178d,Дизайн,графический дизайн,адаптация обложек и создание баннеров
N_93808ab7f656da1a318b61c4,Дизайн,графический дизайн,изменение макетов и создание дизайнов
N_d0e3fe9e7157a2fc7b852a1f,Дизайн,графический дизайн,создать плакаты и инфографику
N_a4b10ed2340fd409ca70d37f,Дизайн,графический дизайн,доверстка отчета и создание презентации
N_a25a991303a89caf6c51488b,Дизайн,графический дизайн,обработка раскрасок и создание визитки
N_c611aea5110debcbb05449ba,Дизайн,графический дизайн,разработка наклеек для телефона
N_ff89e8a09fe932f158a883ca,Дизайн,графический дизайн,создание афиши и брошюры
N_8a18e3975f65ea94ba603e11,Дизайн,графический дизайн,поиск и обработка изображений
N_d96a2851ffa8d6fc5b600d86,Дизайн,графический дизайн,создать презентацию
N_169bf49245186d61f140cb2a,Дизайн,графический дизайн,создать дизайн этикеток и визиток
N_4a483325e48f6ccb67235bdc,Дизайн,графический дизайн,создание и обновление годового отчета
N_166fdbcf7e3a4265566dd25d,Дизайн,графический дизайн,создать обложки и баннеры
N_dbc0697baf7d6d6bf4e72f33,Дизайн,графический дизайн,создание изображений и вёрстка
N_e76228de58763f7927f1f5de,Дизайн,графический дизайн,создать шаблон сертификата и презентацию
N_ecfe354e7eb6ba2cc9899d78,Дизайн,графический дизайн,создать визуализацию и дизайн мерча
N_f81739eead658a37ccdfbd4d,Дизайн,графический дизайн,поиск и обработка изображений
N_5dee2a3827463d229812b8c6,Дизайн,видеомонтаж,создать мультимедийный контент
N_680f633bf4e967da11e007d6,Дизайн,графический дизайн,разработать баннеры
N_637542f67021d7508508ff37,Дизайн,графический дизайн,создать презентацию
N_6691ab0b2580885f73f34482,Дизайн,графический дизайн,разработать листовки и этикетки
N_9db6fa950e60e9c9183df9ef,Дизайн,графический дизайн,создать макеты печатной продукции
N_c4f3e27bceec7f6cc6206546,IT-разработка и цифровые сервисы,разработка сайтов,переработать сайт и создать изображения
N_8cda0954cd24015c30f63af5,Дизайн,графический дизайн,создать инфографику и баннеры
N_2a6dfb31ddbb65bfcc6de9ee,Дизайн,графический дизайн,разработать дизайн справок и бейджиков
N_a08d0adfcc3f963553838fa9,Дизайн,графический дизайн,создать электронное приглашение и иллюстрации
N_1ba191e38237b81dede66151,Дизайн,графический дизайн,создание таблички и брошюры
N_76916b43f5d22ce129fbdc13,Дизайн,графический дизайн,разработать информаторы и листовки
N_f084052ada5911e18c7c8791,Дизайн,графический дизайн,создать открытку и афишу
N_db174e0bcf5217726586e932,Дизайн,графический дизайн,создать макеты для печати
N_f3016d8bee48e04f52fb6510,Дизайн,графический дизайн,разработать макеты зачетных книжек и открыток
N_94fb55654d0fd84a53ee27d2,Дизайн,графический дизайн,разработка макетов для печати
N_cde4dd8f72205114b11702ee,IT-разработка и цифровые сервисы,обработка изображений,обработка изображений для проекта
N_c7cc167016b654ace83c775d,Дизайн,графический дизайн,создание логотипа и годового отчета
N_3900a9364283df3e669b9ff7,Дизайн,графический дизайн,создать дизайн печатной продукции
N_83413b99c6503413ea4be5e7,Дизайн,графический дизайн,изменение макета и адаптация под соцсети
N_95b089511aaf6550b0d8a134,Дизайн,графический дизайн,создать макет письма
N_42fd90f2705a585743654394,Дизайн,графический дизайн,разработать дизайн сертификата и сувенирной продукции
N_c0d569f8212ae2107ed72c37,Дизайн,графический дизайн,создать дизайн презентации и сайта
N_a0f6b96a747e11538e157a9d,IT-разработка и цифровые сервисы,дизайн одностраничного сайта,создать лендинг для сбора пожертвований
N_e1b4fe85f2bc12b32e9f2082,Дизайн,графический дизайн,создать инфографику и шаблоны постов
N_e21084fe360a7dd82650567b,Дизайн,графический дизайн,подготовка брошюры и доработка плаката
N_bc0bd1013c89af8e6561749c,Дизайн,графический дизайн,создание инфографики для соцсетей
N_b78f64d54be64004611576c3,Дизайн,графический дизайн,создать печатную продукцию и баннеры
N_72201ae9317c2225f8da628d,IT-разработка и цифровые сервисы,дизайн,создание визуального стиля сайта
N_e073aa3512a559cf1792d0d2,Дизайн,графический дизайн,разработать дизайн печатной продукции
N_514d07c5b6c8c12565ea5af5,Дизайн,графический дизайн,создание сертификатов и изображений
N_b1b30dca77881e2c42e22f51,Дизайн,графический дизайн,создать подарочные сертификаты и памятки
N_98d635007fb32fd7e5a51ba7,Дизайн,графический дизайн,разработать грамоту и брошюру
N_90716f17982949982656ca5d,Дизайн,графический дизайн,создать инфографику и заставку
N_3e13f56fa0abbe718a0a6124,IT-разработка и цифровые сервисы,интерактивные сайты,создать интерактивный годовой отчет
N_14da9be73a9a483888b9aa44,Дизайн,графический дизайн,создать инфографику
N_020001e73a19d36d395956e2,Дизайн,"фото и видеосъемка, монтаж",обработка изображений
N_b11c9369832f4532c262dcfb,Дизайн,графический дизайн,разработать брендбук и дизайн футболки
N_13f52035148f73108e2dac31,Дизайн,графический дизайн,поиск и подготовка изображений
N_4b7d20f577b223e29f81fdd3,Дизайн,графический дизайн,создать дизайн наклейки и стикера
N_6486d969ae80111d928c4c67,Дизайн,графический дизайн,создать табличку и обновить печатную продукцию
N_2e13d235ee639f319c3ddc5b,копирайтинг и редакция текста,корректура,подготовка афиш и брошюры
N_23a093321895ee69436e21c4,Дизайн,графический дизайн,"подобрать цветовую палитру и шрифты, подготовить брендбук, создать иллюстрацию"
N_d03921392e5f29b947a869eb,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт и PDF отчет
N_112bd7dfe5b16160596d54e2,Дизайн,графический дизайн,разработать дизайн плаката и шаблон сертификата
N_54b20e921a59a6f6ae2f0f2f,Дизайн,графический дизайн,создать шаблон баннера
N_d27732417cfc2e07e607b51a,Дизайн,графический дизайн,разработать дизайн ролл-апа и открыток
N_811ba0440099a7b9ea06069b,Дизайн,графический дизайн,создание и обработка изображений
N_fc2a9c18b8826ecec3aef840,Дизайн,графический дизайн,разработать макеты наклеек
N_af1579cb951cf06771bff65d,Дизайн,графический дизайн,адаптация презентации и создание баннеров
N_f76e0649dc9ebf84bdd494a9,Дизайн,верстка,создать печатную продукцию
N_0037895cb89373c53d8a5074,Дизайн,графический дизайн,создать баннер и инфографику
N_8a66ec8b12d4da1434ba3aab,Дизайн,графический дизайн,создать баннеры для сайта и соцсетей
N_907321fbc97046f1616b6166,Дизайн,графический дизайн,создать рисунок и буклет
N_52e8df945bc2f1e1077e0981,Дизайн,графический дизайн,разработать стиль для соцсетей и чехлы на телефон
N_db887cd6cb16bc88b6a17e8e,Дизайн,графический дизайн,создать изображения и логотип
N_05dbc0965cef5ae2ea6d0b18,Дизайн,графический дизайн,создать баннеры и листовку
N_2eaca74423a4a4be9b7f71f6,Копирайтинг и редакция текста,копирайтинг,подготовка текстов и изображений
N_0808318dbb21c4e4c1f61fc3,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт с функционалом
N_26cca27551c756ef699942d3,Дизайн,графический дизайн,разработка дизайна сувенирной продукции и соцобложек
N_3f9eb4381244137cea22c9ae,Дизайн,графический дизайн,создать брошюру и баннер
N_c7206938f201716e0298dd01,Дизайн,графический дизайн,создать изображения
N_307f116f6445b19fb841737d,Дизайн,графический дизайн,доработать презентации
N_c4d84ce59acadfa3942b7db5,Дизайн,графический дизайн,создать презентацию и афишу
N_37918abd94fd20cc70093270,Переводы,письменный перевод,перевести документы
N_6ad414af2b3681976f8b492b,Дизайн,графический дизайн,создать баннер и оформить соцсети
N_6445a70c5f04cc2eff21e22e,Дизайн,графический дизайн,создать открытку и письмо
N_b5b1b5966c8f353f3fb91f18,Дизайн,графический дизайн,создать афишу для выставки
N_0b2de75be97a53c542d85b71,Дизайн,обработка изображений,обработка изображений для инфографики
N_941d0be55e04de62f36dfb45,Дизайн,графический дизайн,создание иллюстраций и благодарственных писем
N_c53e7b468af72d9212d2dea1,Дизайн,графический дизайн,разработать стикерпак и афишу
N_e89446ee441f2f8718d54a0f,Дизайн,графический дизайн,подготовка изображений и оформление кроссворда
N_209ea42e976d0214ea975ad6,Дизайн,графический дизайн,создать графические материалы
N_74b861facd7799c89ce6d9c7,Дизайн,графический дизайн,поиск и обработка изображений
N_954ceb1befdd698d2791b818,Дизайн,графический дизайн,создать шаблоны баннера и письма
N_ed741ebc4dc2c44590df2cba,Дизайн,графический дизайн,создать презентацию и оформить соцсети
N_2ec476821374793516e49dcc,Дизайн,графический дизайн,создать макеты открытки и инфографики
N_e1a9ce19542c8c46177ddbc8,Дизайн,графический дизайн,создать презентацию
N_c73a75cb6c1c642d13bbb94b,Дизайн,иллюстрации,создать иллюстрации и оформить соцсети
N_bef5638dcc0ab179f398bb61,Дизайн,графический дизайн,создать заставку и календарь
N_bc239e3539c63429d89abd18,Дизайн,верстка,верстка каталога и брошюры
N_96520fc8ba75133ab66965fe,Дизайн,графический дизайн,создать баннер и инфографику
N_0efe10a6b9fb190bf4ccc7a1,Дизайн,графический дизайн,создать печатную открытку
N_c2924066e653b7292cfb4c39,Дизайн,графический дизайн,создать дизайн приглашений и баннеров
N_ecdd64d9295bf30b5af347b4,Дизайн,графический дизайн,создание макетов гайда и этикетки
N_1b66152831be76cbe812fd70,Дизайн,графический дизайн,создать печатные материалы
N_5532e4c0e6e5f8baeef7b910,Дизайн,графический дизайн,разработка шаблонов благодарственных писем и годового отчета
N_b497570ed2ccd6fc153a2148,Дизайн,графический дизайн,создать обложки и роллап
N_fec51fd020db780cdf1eff54,Дизайн,графический дизайн,создать годовой отчет с инфографикой
N_2b4f2090a65e1d8295c2bde7,Дизайн,графический дизайн,создать наклейки и пост для Инстаграма
N_2af82fb22bacf56fb41c3cb2,Дизайн,графический дизайн,создать макет письма и плакат
N_52c25d8da9e47fe774a61f35,Дизайн,графический дизайн,создание баннера и обработка изображений
N_34daf95160139b1af2b2781d,"Маркетинг (SMM, реклама, продвижение)",корректировка макетов,Добавить номер горячей линии в макет
N_63524179583c9849737eeb56,Дизайн,графический дизайн,подготовить макеты печатной продукции
N_c2ea477dc46362d1815b4351,Дизайн,графический дизайн,создать баннеры для соцсетей
N_b869e9a319e8aee95782ef2a,Дизайн,графический дизайн,создать макеты для печати
N_5521f35fea0aa4208ad96abf,Дизайн,графический дизайн,создать годовой отчет и афиши
N_a6fda2ac076d6ca7aa00a0de,Дизайн,графический дизайн,разработать макеты для roll-up и соцрекламы
N_fd3675c74842cde1e89512a9,Дизайн,email-дизайн,верстка отчета и создания шаблонов
N_f42a9d929a5160188822eeb1,Дизайн,графический дизайн,создание печатной продукции и изображений
N_afaa7b753adc0248f45b9840,Копирайтинг и редакция текста,копирайтинг,подготовка текстов для соцсетей и визиток
N_186606deecf58dd237442d1a,Дизайн,графический дизайн,создать презентацию и PDF
N_a5fb00988e6c20b7cc8d3a0e,Дизайн,графический дизайн,создать макет значка и баннеров
N_e12e2217759484e433476e7b,IT-разработка и цифровые сервисы,разработка сайтов,разработать сайт и вёрстку пособия
N_625ff7ed16b5688a45b4f738,Дизайн,графический дизайн,создать баннеры и логотип
N_0135fd59f1bc7eaef6d2dc3c,Дизайн,графический дизайн,создать открытку и буклет
N_8b708bebf0e544de73cd5e80,Дизайн,графический дизайн,создать новогодние открытки
N_4b38d1e5b43e4d488a63246d,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг и сайт-визитку
N_9d84eb41726953e1d4722eca,"Маркетинг (SMM, реклама, продвижение)",email-маркетинг,разработать шаблон email-рассылки
N_d207f842a523ec49ea9e1f3a,Дизайн,иллюстрация,создать иллюстрацию и макет письма
N_410a785bfa6101cc86c5eac4,Дизайн,графический дизайн,разработать дизайн печатной продукции и соцсетей
N_8255b6336281af465ef0a1d5,Дизайн,графический дизайн,создать шаблон email-рассылки
N_a0894f0946df28b2aa0870d9,Дизайн,графический дизайн,создать открытку и буклет
N_e7f3fe0df74fc2a9bb3285a2,Дизайн,графический дизайн,создать дизайн приглашений
N_abdeb09ccc7659bf816f6448,Дизайн,графический дизайн,создать годовой отчет и баннеры
N_4f9ef06b7b3a105981f691a0,Дизайн,графический дизайн,создать плакат и баннеры
N_ce5ebebc527b69f3d60961e9,Дизайн,графический дизайн,создать ролл-ап и презентацию
N_84e6980244f793795d1a3a80,Дизайн,графический дизайн,верстка визуальных материалов
N_f548047e6e321eafa8f54286,Дизайн,графический дизайн,создание макетов и дизайна сувенирной продукции
N_2e31eec45d2581ee38b318cb,Дизайн,графический дизайн,создать пресс-волл и афишу
N_5713950c324aee19abfea67d,Дизайн,графический дизайн,создать айдентику и карточки для соцсетей
N_725bd1b849ba2bd4940e76ff,Дизайн,графический дизайн,создать дизайн и верстку
N_7e7c3a8f48b4cfb9028fcc39,Дизайн,графический дизайн,создать презентации
N_6e9727aa49d5c7ae08d2be98,Дизайн,графический дизайн,создание плакатов и табличек
N_a28328e5058309537b116e06,Дизайн,графический дизайн,создать годовой отчет и баннер
N_01888fa9dd881d7614810437,Дизайн,графический дизайн,адаптировать PDF и создать соцсети форматы
N_138e351302f0df54225855fa,Дизайн,графический дизайн,разработка дизайна сувенирной продукции
N_62736ad807416cff817ce0d5,Дизайн,графический дизайн,создать макет для соцсетей
N_3f3b90a53fef2e65ecf0d5b4,Дизайн,интерьер,разработать дизайн-макет
N_e471919c577c59e75d6dde16,Дизайн,графический дизайн,создать листовку и визитку
N_b98deacbde808de6c7e107e4,Дизайн,графический дизайн,разработать дизайн листовки и стикеры
N_b00d56f91a737946638bf61f,Дизайн,графический дизайн,"правки макета, добавление иллюстраций"
N_306c8807c3b1dd0320ce70a4,Дизайн,графический дизайн,добавление логотипов и текста
N_437607ade42d95e4516d3a52,Дизайн,графический дизайн,создать наклейку и памятку
N_eac9d499209b48833bc1a722,Дизайн,графический дизайн,создать открытки и баннер
N_76de194bc98d3bbd331dd561,Дизайн,корректировка дизайна,редактировать шаблоны и продукцию
N_88709e16d09417ef90b01929,Дизайн,графический дизайн,создать одностраничный документ А4
N_1872d41099fa89d6b20cb99c,Дизайн,графический дизайн,создание карточек и писем
N_e91fa881034ad92294dd43bb,копирайтинг и редакция текста,корректура,подготовка текста благодарственного письма
N_a9c9b83aa88ddce7879238a3,Дизайн,графический дизайн,подготовка макета для печати
N_650ed40b30deb8a0c19687c1,Дизайн,графический дизайн,создать макет письма
N_1c4618cb4374b8a3af81a2a3,Дизайн,графический дизайн,создать сертификат и закладку
N_0ad3025eea20fd2e264d4472,Дизайн,графический дизайн,разработать грамоты и афишу
N_5b5925912d98b2403d9147e4,Дизайн,графический дизайн,создать сувенирную линейку
N_9dff63a8495bb391c388d921,Дизайн,графический дизайн,создать листовку-дневник
N_45f9b4a199eef47de877eeed,Дизайн,графический дизайн,создание макетов открытки и таблички
N_b096e0b8ebc90c69b2d74d5f,Дизайн,графический дизайн,создать дизайн-макеты для выставки и ящиков сбора пожертвований
N_669f655b19d663b8a5e49b4e,Дизайн,графический дизайн,создать макеты и благодарственное письмо
N_a4b4d02108b64fbaeb2e344b,Дизайн,графический дизайн,создать макеты пригласительного письма и листовки
N_3661342ebff384f33284d580,Дизайн,графический дизайн,создание карточек и буклета
